Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [910/1299] D_loss: -0.0134, G_loss: 1.1519
  Batch [920/1299] D_loss: -0.8808, G_loss: -0.6844
  Batch [930/1299] D_loss: -0.0625, G_loss: -1.2213
  Batch [940/1299] D_loss: -0.2883, G_loss: 0.4926
  Batch [950/1299] D_loss: -0.0771, G_loss: -1.2857
  Batch [960/1299] D_loss: -0.4849, G_loss: 1.7631
  Batch [970/1299] D_loss: -0.5161, G_loss: -0.6487
  Batch [980/1299] D_loss: -0.4173, G_loss: 1.4184
  Batch [990/1299] D_loss: -0.0535, G_loss: 0.1081
  Batch [1000/1299] D_loss: -0.0568, G_loss: 0.2047
  Batch [1010/1299] D_loss: -0.6816, G_loss: 0.5532
  Batch [1020/1299] D_loss: -0.9740, G_loss: 0.5778
  Batch [1030/1299] D_loss: -0.3703, G_loss: 0.9622
  Batch [1040/1299] D_loss: -0.2780, G_loss: -1.8923
  Batch [1050/1299] D_loss: -0.1491, G_loss: 1.1861
  Batch [1060/1299] D_loss: -0.7641, G_loss: -0.2300
  Batch [1070/1299] D_loss: -0.4234, G_loss: 0.3578
  Batch [1080/1299] D_loss: -0.7519, G_loss: 1.0565
  Batch [1090/1299] D_loss: -0.1999, G_loss: 0.7645
  Batch [1100/1299] D_loss: -1.0561, G_loss: -3.1392
  Batch [1110/1299] D_loss: 0.0138, G_loss: 0.9507
  Batch [1120/1299] D_loss: -1.3275, G_loss: 4.3620
  Batch [1130/1299] D_loss: -0.0180, G_loss: 0.0123
  Batch [1140/1299] D_loss: -0.1003, G_loss: 0.5798
  Batch [1150/1299] D_loss: 0.0300, G_loss: 0.6078
  Batch [1160/1299] D_loss: -0.2131, G_loss: -0.2091
  Batch [1170/1299] D_loss: -0.0717, G_loss: 0.1698
  Batch [1180/1299] D_loss: -0.4443, G_loss: 0.8467
  Batch [1190/1299] D_loss: -0.1436, G_loss: -0.2318
  Batch [1200/1299] D_loss: -0.7348, G_loss: 0.0129
  Batch [1210/1299] D_loss: -0.6624, G_loss: -0.1571
  Batch [1220/1299] D_loss: -0.0318, G_loss: -0.0185
  Batch [1230/1299] D_loss: -0.8514, G_loss: 0.0591
  Batch [1240/1299] D_loss: -0.6797, G_loss: 1.5475
  Batch [1250/1299] D_loss: -0.4963, G_loss: 1.2109
  Batch [1260/1299] D_loss: -0.2905, G_loss: 1.9052
  Batch [1270/1299] D_loss: 0.0828, G_loss: -2.1089
  Batch [1280/1299] D_loss: -1.2108, G_loss: 2.1468
  Batch [1290/1299] D_loss: -0.3100, G_loss: 0.6835

Epoch 2 Summary:
  Average D_loss: -0.1845
  Average G_loss: 0.1288

Epoch [3/100]
  Batch [0/1299] D_loss: 0.1279, G_loss: -1.2386
  Batch [10/1299] D_loss: 0.2157, G_loss: 0.9218
  Batch [20/1299] D_loss: -0.2120, G_loss: -1.1655
  Batch [30/1299] D_loss: -0.1260, G_loss: 1.3903
  Batch [40/1299] D_loss: -0.8941, G_loss: -1.8908
  Batch [50/1299] D_loss: -0.5752, G_loss: 2.2010
  Batch [60/1299] D_loss: -0.3755, G_loss: -1.1546
