Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [510/1299] D_loss: -4.6042, G_loss: -0.7516
  Batch [520/1299] D_loss: -3.2800, G_loss: 0.1157
  Batch [530/1299] D_loss: -3.3596, G_loss: 3.5564
  Batch [540/1299] D_loss: -3.3225, G_loss: 2.0907
  Batch [550/1299] D_loss: -3.5157, G_loss: 3.8993
  Batch [560/1299] D_loss: -3.6145, G_loss: -0.5346
  Batch [570/1299] D_loss: -3.7292, G_loss: 1.1401
  Batch [580/1299] D_loss: -4.4895, G_loss: -0.9892
  Batch [590/1299] D_loss: -4.2225, G_loss: -1.6775
  Batch [600/1299] D_loss: -2.5995, G_loss: 3.3378
  Batch [610/1299] D_loss: -4.4493, G_loss: 1.0250
  Batch [620/1299] D_loss: -3.3743, G_loss: 4.9945
  Batch [630/1299] D_loss: -3.3256, G_loss: 1.6863
  Batch [640/1299] D_loss: -3.6788, G_loss: 0.0469
  Batch [650/1299] D_loss: -3.7629, G_loss: 2.1159
  Batch [660/1299] D_loss: -3.5200, G_loss: 0.7987
  Batch [670/1299] D_loss: -4.4877, G_loss: 3.3073
  Batch [680/1299] D_loss: -3.8736, G_loss: 0.6224
  Batch [690/1299] D_loss: -3.6672, G_loss: 2.6591
  Batch [700/1299] D_loss: -2.9381, G_loss: 2.2984
  Batch [710/1299] D_loss: -4.5524, G_loss: 3.5807
  Batch [720/1299] D_loss: -2.4635, G_loss: 2.9460
  Batch [730/1299] D_loss: -3.5774, G_loss: 2.2199
  Batch [740/1299] D_loss: -3.1513, G_loss: 1.3494
  Batch [750/1299] D_loss: -3.4385, G_loss: 3.7725
  Batch [760/1299] D_loss: -4.3415, G_loss: 2.1068
  Batch [770/1299] D_loss: -3.6018, G_loss: 3.8232
  Batch [780/1299] D_loss: -2.6493, G_loss: 0.8164
  Batch [790/1299] D_loss: -5.5293, G_loss: 1.9635
  Batch [800/1299] D_loss: -4.2382, G_loss: 3.4130
  Batch [810/1299] D_loss: -4.1872, G_loss: 3.4643
  Batch [820/1299] D_loss: -3.7357, G_loss: 1.1690
  Batch [830/1299] D_loss: -4.3022, G_loss: -0.3643
  Batch [840/1299] D_loss: -5.1091, G_loss: 2.0954
  Batch [850/1299] D_loss: -2.6994, G_loss: 3.3286
  Batch [860/1299] D_loss: -2.6211, G_loss: 2.5415
  Batch [870/1299] D_loss: -3.7107, G_loss: 1.3945
  Batch [880/1299] D_loss: -3.5815, G_loss: 0.8406
  Batch [890/1299] D_loss: -3.5808, G_loss: 1.2828
  Batch [900/1299] D_loss: -3.3081, G_loss: 3.2563
  Batch [910/1299] D_loss: -3.7659, G_loss: 2.2854
  Batch [920/1299] D_loss: -2.9672, G_loss: 2.0897
  Batch [930/1299] D_loss: -3.9775, G_loss: -0.9576
  Batch [940/1299] D_loss: -3.3127, G_loss: 1.3464
  Batch [950/1299] D_loss: -2.8659, G_loss: 2.6621
  Batch [960/1299] D_loss: -4.7254, G_loss: 5.4282
  Batch [970/1299] D_loss: -3.5475, G_loss: 2.7244
  Batch [980/1299] D_loss: -2.3355, G_loss: 2.1596
  Batch [990/1299] D_loss: -4.5224, G_loss: 3.4203
  Batch [1000/1299] D_loss: -1.0566, G_loss: 0.1372
  Batch [1010/1299] D_loss: -3.4869, G_loss: 2.3023
  Batch [1020/1299] D_loss: -3.7161, G_loss: 3.4055
  Batch [1030/1299] D_loss: -4.3858, G_loss: 3.4228
  Batch [1040/1299] D_loss: -4.0154, G_loss: 4.2272
  Batch [1050/1299] D_loss: -3.8012, G_loss: 3.0195
  Batch [1060/1299] D_loss: -4.2254, G_loss: 3.5032
  Batch [1070/1299] D_loss: -5.0136, G_loss: 5.5126
  Batch [1080/1299] D_loss: -4.6338, G_loss: 0.8285
  Batch [1090/1299] D_loss: -4.9635, G_loss: 4.4531
  Batch [1100/1299] D_loss: -4.4256, G_loss: 4.3005
  Batch [1110/1299] D_loss: -4.7370, G_loss: 2.1744
  Batch [1120/1299] D_loss: -2.8575, G_loss: 2.5022
  Batch [1130/1299] D_loss: -4.3697, G_loss: 2.9684
  Batch [1140/1299] D_loss: -4.1490, G_loss: 4.0625
  Batch [1150/1299] D_loss: -3.4472, G_loss: 3.7752
  Batch [1160/1299] D_loss: -4.4555, G_loss: 1.3666
  Batch [1170/1299] D_loss: -3.1999, G_loss: 3.4660
  Batch [1180/1299] D_loss: -3.9861, G_loss: 5.6211
  Batch [1190/1299] D_loss: -4.0928, G_loss: 2.7758
  Batch [1200/1299] D_loss: -3.1405, G_loss: 2.2212
  Batch [1210/1299] D_loss: -1.6744, G_loss: 2.4265
  Batch [1220/1299] D_loss: -3.9415, G_loss: 3.2230
  Batch [1230/1299] D_loss: -4.7383, G_loss: 2.1937
  Batch [1240/1299] D_loss: -4.3356, G_loss: 2.8840
  Batch [1250/1299] D_loss: -4.0361, G_loss: 1.9287
  Batch [1260/1299] D_loss: -2.3615, G_loss: 2.1148
  Batch [1270/1299] D_loss: -4.0534, G_loss: 3.8697
  Batch [1280/1299] D_loss: -3.1032, G_loss: 3.9616
  Batch [1290/1299] D_loss: -2.9590, G_loss: 7.4132

Epoch 3 Summary:
  Average D_loss: -3.3948
  Average G_loss: 1.8301

Epoch [4/100]
  Batch [0/1299] D_loss: -3.4800, G_loss: 3.5575
  Batch [10/1299] D_loss: -3.0527, G_loss: 1.1665
  Batch [20/1299] D_loss: -4.7684, G_loss: 2.7785
  Batch [30/1299] D_loss: -3.1604, G_loss: 4.0601
  Batch [40/1299] D_loss: -2.9981, G_loss: 3.8662
  Batch [50/1299] D_loss: -4.1661, G_loss: 4.4335
  Batch [60/1299] D_loss: -5.1296, G_loss: 0.8613
  Batch [70/1299] D_loss: -4.9423, G_loss: 3.0677
  Batch [80/1299] D_loss: -3.8366, G_loss: 3.0869
  Batch [90/1299] D_loss: -4.0564, G_loss: 2.3928
  Batch [100/1299] D_loss: -4.4449, G_loss: 2.2346
  Batch [110/1299] D_loss: -4.1458, G_loss: 2.6095
  Batch [120/1299] D_loss: -4.4843, G_loss: 3.5610
  Batch [130/1299] D_loss: -3.4174, G_loss: 3.9197
  Batch [140/1299] D_loss: -3.6510, G_loss: 2.1626
  Batch [150/1299] D_loss: -2.9813, G_loss: 3.8992
  Batch [160/1299] D_loss: -4.9863, G_loss: 5.0663
  Batch [170/1299] D_loss: -4.3457, G_loss: 3.0102
  Batch [180/1299] D_loss: -3.9569, G_loss: 2.7372
  Batch [190/1299] D_loss: -4.4220, G_loss: 3.7901
  Batch [200/1299] D_loss: -3.3149, G_loss: 4.2510
  Batch [210/1299] D_loss: -3.7625, G_loss: 4.4550
  Batch [220/1299] D_loss: -2.6009, G_loss: 2.8174
  Batch [230/1299] D_loss: -3.3799, G_loss: 3.5787
  Batch [240/1299] D_loss: -5.2851, G_loss: 3.6612
