Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [360/1299] D_loss: -0.6665, G_loss: 0.3223
  Batch [370/1299] D_loss: -0.6166, G_loss: 0.3802
  Batch [380/1299] D_loss: -0.8742, G_loss: 0.1405
  Batch [390/1299] D_loss: -0.7168, G_loss: 0.2409
  Batch [400/1299] D_loss: -1.0114, G_loss: 0.0991
  Batch [410/1299] D_loss: -0.7592, G_loss: 0.2512
  Batch [420/1299] D_loss: -0.5864, G_loss: -0.0512
  Batch [430/1299] D_loss: -0.6318, G_loss: 0.1180
  Batch [440/1299] D_loss: -0.6974, G_loss: 0.1062
  Batch [450/1299] D_loss: -0.6596, G_loss: 0.1332
  Batch [460/1299] D_loss: -0.6960, G_loss: 0.0594
  Batch [470/1299] D_loss: -1.0087, G_loss: 0.2902
  Batch [480/1299] D_loss: -0.8160, G_loss: -0.0146
  Batch [490/1299] D_loss: -0.9107, G_loss: 0.2527
  Batch [500/1299] D_loss: -1.0241, G_loss: 0.0143
  Batch [510/1299] D_loss: -1.0449, G_loss: -0.1616
  Batch [520/1299] D_loss: -0.5525, G_loss: 0.3023
  Batch [530/1299] D_loss: -0.4928, G_loss: 0.3465
  Batch [540/1299] D_loss: -0.7326, G_loss: 0.2011
  Batch [550/1299] D_loss: -0.5961, G_loss: -0.1684
  Batch [560/1299] D_loss: -0.7645, G_loss: 0.1705
  Batch [570/1299] D_loss: -0.8545, G_loss: -0.0020
  Batch [580/1299] D_loss: -1.0903, G_loss: -0.5062
  Batch [590/1299] D_loss: -1.0954, G_loss: 0.3667
  Batch [600/1299] D_loss: -0.8138, G_loss: 0.3178
  Batch [610/1299] D_loss: -0.6338, G_loss: 0.2184
  Batch [620/1299] D_loss: -0.5397, G_loss: 0.0379
  Batch [630/1299] D_loss: -0.9155, G_loss: 0.1087
  Batch [640/1299] D_loss: -0.3587, G_loss: -0.0653
  Batch [650/1299] D_loss: -0.6297, G_loss: -0.4166
  Batch [660/1299] D_loss: -0.7347, G_loss: 0.2865
  Batch [670/1299] D_loss: -0.7198, G_loss: -0.0058
  Batch [680/1299] D_loss: -0.8028, G_loss: 0.0457
  Batch [690/1299] D_loss: -0.9764, G_loss: -0.4818
  Batch [700/1299] D_loss: -0.9463, G_loss: 0.1400
  Batch [710/1299] D_loss: -0.6699, G_loss: 0.0389
  Batch [720/1299] D_loss: -0.7520, G_loss: 0.0504
  Batch [730/1299] D_loss: -0.6656, G_loss: 0.2719
  Batch [740/1299] D_loss: -0.5170, G_loss: 0.2215
  Batch [750/1299] D_loss: -0.3874, G_loss: 0.2573
  Batch [760/1299] D_loss: -0.7806, G_loss: 0.1944
  Batch [770/1299] D_loss: -0.7131, G_loss: 0.1819
  Batch [780/1299] D_loss: -0.5662, G_loss: 0.0210
  Batch [790/1299] D_loss: -0.7647, G_loss: 0.1211
  Batch [800/1299] D_loss: -0.7704, G_loss: -0.1612
  Batch [810/1299] D_loss: -0.7622, G_loss: -0.1274
  Batch [820/1299] D_loss: -1.2940, G_loss: -0.2425
  Batch [830/1299] D_loss: -0.7902, G_loss: 0.4561
  Batch [840/1299] D_loss: -0.5532, G_loss: 0.3268
  Batch [850/1299] D_loss: -0.7511, G_loss: 0.2526
  Batch [860/1299] D_loss: -0.9043, G_loss: -0.2432
  Batch [870/1299] D_loss: -0.7544, G_loss: 0.0962
  Batch [880/1299] D_loss: -0.6201, G_loss: 0.2024
  Batch [890/1299] D_loss: -0.5805, G_loss: 0.4432
  Batch [900/1299] D_loss: -0.7642, G_loss: 0.4063
  Batch [910/1299] D_loss: -0.6954, G_loss: 0.2246
  Batch [920/1299] D_loss: -0.5990, G_loss: 0.0731
  Batch [930/1299] D_loss: -1.1215, G_loss: 0.1312
  Batch [940/1299] D_loss: -1.3622, G_loss: -0.3635
  Batch [950/1299] D_loss: -0.6098, G_loss: 0.0308
  Batch [960/1299] D_loss: -0.6811, G_loss: -0.4075
  Batch [970/1299] D_loss: -0.7010, G_loss: 0.2652
  Batch [980/1299] D_loss: -0.7213, G_loss: 0.0764
  Batch [990/1299] D_loss: -1.0675, G_loss: -0.1621
  Batch [1000/1299] D_loss: -0.8611, G_loss: -0.2419
  Batch [1010/1299] D_loss: -0.6946, G_loss: -0.1519
  Batch [1020/1299] D_loss: -0.7554, G_loss: 0.0393
  Batch [1030/1299] D_loss: -0.8331, G_loss: -0.0048
  Batch [1040/1299] D_loss: -0.9543, G_loss: 0.1869
  Batch [1050/1299] D_loss: -0.5983, G_loss: 0.1627
  Batch [1060/1299] D_loss: -0.6612, G_loss: -0.0579
  Batch [1070/1299] D_loss: -0.6241, G_loss: -0.0251
  Batch [1080/1299] D_loss: -0.5105, G_loss: 0.4292
  Batch [1090/1299] D_loss: -0.4414, G_loss: 0.2460
  Batch [1100/1299] D_loss: -0.5814, G_loss: 0.2249
  Batch [1110/1299] D_loss: -1.2081, G_loss: -0.3134
  Batch [1120/1299] D_loss: -0.7726, G_loss: 0.3713
  Batch [1130/1299] D_loss: -0.6547, G_loss: -0.5048
  Batch [1140/1299] D_loss: -1.0825, G_loss: -0.1889
  Batch [1150/1299] D_loss: -1.0190, G_loss: 0.2608
  Batch [1160/1299] D_loss: -0.8151, G_loss: -0.6640
  Batch [1170/1299] D_loss: -1.0303, G_loss: 0.3010
  Batch [1180/1299] D_loss: -0.8940, G_loss: 0.1721
  Batch [1190/1299] D_loss: -1.0119, G_loss: -0.1157
  Batch [1200/1299] D_loss: -0.7433, G_loss: 0.1087
  Batch [1210/1299] D_loss: -0.4365, G_loss: 0.3596
  Batch [1220/1299] D_loss: -0.7237, G_loss: 0.3525
  Batch [1230/1299] D_loss: -0.6003, G_loss: -0.0021
  Batch [1240/1299] D_loss: -0.4509, G_loss: -0.2003
  Batch [1250/1299] D_loss: -0.9506, G_loss: -0.1306
  Batch [1260/1299] D_loss: -0.8717, G_loss: 0.3185
  Batch [1270/1299] D_loss: -0.5285, G_loss: 0.3466
  Batch [1280/1299] D_loss: -0.8563, G_loss: 0.4180
  Batch [1290/1299] D_loss: -0.7013, G_loss: 0.2396

Epoch 3 Summary:
  Average D_loss: -0.3467
  Average G_loss: 0.0905

Epoch [4/200]
  Batch [0/1299] D_loss: -0.6324, G_loss: 0.2242
  Batch [10/1299] D_loss: -0.5338, G_loss: 0.1086
  Batch [20/1299] D_loss: -0.8294, G_loss: -0.0439
