Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [50/1299] D_loss: -0.5837, G_loss: -0.0521
  Batch [60/1299] D_loss: -0.6482, G_loss: 0.0987
  Batch [70/1299] D_loss: -0.7285, G_loss: 0.8953
  Batch [80/1299] D_loss: -1.2086, G_loss: -0.3504
  Batch [90/1299] D_loss: -0.3286, G_loss: -0.2491
  Batch [100/1299] D_loss: -0.6232, G_loss: 1.3066
  Batch [110/1299] D_loss: -0.6232, G_loss: 0.9704
  Batch [120/1299] D_loss: -0.8708, G_loss: -2.8978
  Batch [130/1299] D_loss: -0.2773, G_loss: 1.8429
  Batch [140/1299] D_loss: -0.3624, G_loss: 0.3549
  Batch [150/1299] D_loss: -1.0391, G_loss: -2.9801
  Batch [160/1299] D_loss: 0.5467, G_loss: -0.8949
  Batch [170/1299] D_loss: 0.0259, G_loss: 0.8108
  Batch [180/1299] D_loss: -0.1380, G_loss: 0.0182
  Batch [190/1299] D_loss: 0.2981, G_loss: 0.5695
  Batch [200/1299] D_loss: 0.2573, G_loss: -0.8709
  Batch [210/1299] D_loss: -0.1577, G_loss: 0.5617
  Batch [220/1299] D_loss: -0.5165, G_loss: -1.8281
  Batch [230/1299] D_loss: -0.3183, G_loss: 0.3678
  Batch [240/1299] D_loss: -0.4537, G_loss: 0.7957
