Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps
Using negative detector: True

Epoch [1/100]
  Batch [910/1299] D_loss: -4.1429, G_loss: 2.9547, Neg_prop: 0.276, Neg_mag: 0.046
  Batch [920/1299] D_loss: -3.2213, G_loss: 5.2883, Neg_prop: 0.281, Neg_mag: 0.047
  Batch [930/1299] D_loss: -4.3178, G_loss: 2.3758, Neg_prop: 0.273, Neg_mag: 0.044
  Batch [940/1299] D_loss: -3.8756, G_loss: 2.8049, Neg_prop: 0.280, Neg_mag: 0.047
  Batch [950/1299] D_loss: -3.8562, G_loss: 5.7152, Neg_prop: 0.280, Neg_mag: 0.045
  Batch [960/1299] D_loss: -2.5156, G_loss: 3.6758, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [970/1299] D_loss: -4.4610, G_loss: 3.3578, Neg_prop: 0.274, Neg_mag: 0.045
  Batch [980/1299] D_loss: -3.2803, G_loss: 1.0684, Neg_prop: 0.269, Neg_mag: 0.043
  Batch [990/1299] D_loss: -2.8460, G_loss: 3.8285, Neg_prop: 0.268, Neg_mag: 0.043
  Batch [1000/1299] D_loss: -3.9735, G_loss: 2.6673, Neg_prop: 0.270, Neg_mag: 0.044
  Batch [1010/1299] D_loss: -2.9297, G_loss: 3.1013, Neg_prop: 0.258, Neg_mag: 0.041
  Batch [1020/1299] D_loss: -4.5937, G_loss: 2.2823, Neg_prop: 0.272, Neg_mag: 0.045
  Batch [1030/1299] D_loss: -3.5497, G_loss: 1.5248, Neg_prop: 0.269, Neg_mag: 0.043
  Batch [1040/1299] D_loss: -3.1905, G_loss: 3.9438, Neg_prop: 0.268, Neg_mag: 0.043
  Batch [1050/1299] D_loss: -3.5971, G_loss: 5.0762, Neg_prop: 0.277, Neg_mag: 0.045
  Batch [1060/1299] D_loss: -4.4013, G_loss: 5.8514, Neg_prop: 0.279, Neg_mag: 0.045
  Batch [1070/1299] D_loss: -4.0225, G_loss: 2.0217, Neg_prop: 0.267, Neg_mag: 0.042
  Batch [1080/1299] D_loss: -5.0812, G_loss: 6.0977, Neg_prop: 0.264, Neg_mag: 0.042
